"case","taxes","beds","baths","new","price","size"
1,3104,4,2,0,279.9,2048
2,1173,2,1,0,146.5,912
3,3076,4,2,0,237.7,1654
4,1608,3,2,0,200,2068
5,1454,3,3,0,159.9,1477
6,2997,3,2,1,499.9,3153
7,4054,3,2,0,265.5,1355
8,3002,3,2,1,289.9,2075
9,6627,5,4,0,587,3990
10,320,3,2,0,70,1160
11,630,3,2,0,64.5,1220
12,1780,3,2,0,167,1690
13,1630,3,2,0,114.6,1380
14,1530,3,2,0,103,1590
15,930,3,1,0,101,1050
16,590,2,1,0,70,770
17,1050,3,2,0,85,1410
18,20,3,1,0,22.5,1060
19,870,2,2,0,90,1300
20,1320,3,2,0,133,1500
21,1350,2,1,0,90.5,820
22,5616,4,3,1,577.5,3949
23,680,2,1,0,142.5,1170
24,1840,3,2,0,160,1500
25,3680,4,2,0,240,2790
26,1660,3,1,0,87,1030
27,1620,3,2,0,118.6,1250
28,3100,3,2,0,140,1760
29,2070,2,3,0,148,1550
30,830,3,2,0,69,1120
31,2260,4,2,0,176,2000
32,1760,3,1,0,86.5,1350
33,2750,3,2,1,180,1840
34,2020,4,2,0,179,2510
35,4900,3,3,1,338,3110
36,1180,4,2,0,130,1760
37,2150,3,2,0,163,1710
38,1600,2,1,0,125,1110
39,1970,3,2,0,100,1360
40,2060,3,1,0,100,1250
41,1980,3,1,0,100,1250
42,1510,3,2,0,146.5,1480
43,1710,3,2,0,144.9,1520
44,1590,3,2,0,183,2020
45,1230,3,2,0,69.9,1010
46,1510,2,2,0,60,1640
47,1450,2,2,0,127,940
48,970,3,2,0,86,1580
49,150,2,2,0,50,860
50,1470,3,2,0,137,1420
51,1850,3,2,0,121.3,1270
52,820,2,1,0,81,980
53,2050,4,2,0,188,2300
54,710,3,2,0,85,1430
55,1280,3,2,0,137,1380
56,1360,3,2,0,145,1240
57,830,3,2,0,69,1120
58,800,3,2,0,109.3,1120
59,1220,3,2,0,131.5,1900
60,3360,4,3,0,200,2430
61,210,3,2,0,81.9,1080
62,380,2,1,0,91.2,1350
63,1920,4,3,0,124.5,1720
64,4350,3,3,0,225,4050
65,1510,3,2,0,136.5,1500
66,4154,3,3,0,381,2581
67,1976,3,2,1,250,2120
68,3605,3,3,1,354.9,2745
69,1400,3,2,0,140,1520
70,790,2,2,0,89.9,1280
71,1210,3,2,0,137,1620
72,1550,3,2,0,103,1520
73,2800,3,2,0,183,2030
74,2560,3,2,0,140,1390
75,1390,4,2,0,160,1880
76,5443,3,2,0,434,2891
77,2850,2,1,0,130,1340
78,2230,2,2,0,123,940
79,20,2,1,0,21,580
80,1510,4,2,0,85,1410
81,710,3,2,0,69.9,1150
82,1540,3,2,0,125,1380
83,1780,3,2,1,162.6,1470
84,2920,2,2,1,156.9,1590
85,1710,3,2,1,105.9,1200
86,1880,3,2,0,167.5,1920
87,1680,3,2,0,151.8,2150
88,3690,5,3,0,118.3,2200
89,900,2,2,0,94.3,860
90,560,3,1,0,93.9,1230
91,2040,4,2,0,165,1140
92,4390,4,3,1,285,2650
93,690,3,1,0,45,1060
94,2100,3,2,0,124.9,1770
95,2880,4,2,0,147,1860
96,990,2,2,0,176,1060
97,3030,3,2,0,196.5,1730
98,1580,3,2,0,132.2,1370
99,1770,3,2,0,88.4,1560
100,1430,3,2,0,127.2,1340
