"Type","Diam","Time","Price"
"CassDish",10.7,47.65,144
"CassDish",14,63.13,215
"CassDish",9,58.76,105
"Bowl",8,34.88,69
"Dish",10,55.53,134
"CassDish",10.5,43.14,129
"Tray",16,54.86,155
"Tray",15,44.14,99
"Dish",6.5,17.46,38.5
"Dish",5,21.04,36.5
"Tray",25,109.38,260
"Bowl",10.4,17.67,54
"Bowl",7.4,16.41,39
"Bowl",5.4,12.02,29.5
"CassDish",15.4,49.48,109
"CassDish",12.4,48.74,89.5
"Bowl",6,23.21,42
"Bowl",9,28.64,65
"Bowl",9,44.95,115
"Plate",12.4,23.77,49.5
"Bowl",7.5,20.21,36.5
"Bowl",14,32.62,109
"Bowl",7,17.84,45
"Bowl",9,22.82,58
"Bowl",12,29.48,89
"Bowl",5.5,15.61,30
"Bowl",6,13.25,31
"Bowl",12,45.78,119
"Tray",5.5,26.53,22
"Bowl",14.2,37.11,109
"Dish",11,45.12,99
"Plate",16,26.09,99
"CassDish",13.5,68.63,179
"Dish",11.1,33.71,99
"Dish",9.8,44.45,89
"Bowl",10,23.74,75
"CassDish",13,86.42,199
"Bowl",13,39.71,93
"Plate",11.7,26.52,65
"Tray",12.3,33.89,74
"Tray",19.5,64.3,165
"Bowl",15.2,22.55,99
"Plate",10,31.86,43.5
"Bowl",11,53.18,94
"Tray",17.8,74.48,189
"Tray",11.5,34.16,75
"Tray",12.7,31.46,59.5
"Bowl",8,21.34,42
"Tray",7.5,20.83,23
"Bowl",9,20.59,52.5
"CassDish",14,33.7,99
"CassDish",12.4,32.9,89
"Dish",8.8,27.76,65
"Bowl",8.5,30.2,54.5
"Plate",6,20.85,24.5
"Plate",11,26.25,52
"Plate",11.1,21.87,62.5
"Plate",14.5,23.88,89
"Plate",5,16.66,21.5
